date,active_power,current,voltage,apparent_power,power_factor,temp,feels_like,temp_min,temp_max,humidity
2022-11-05 14:30:00,257.6,2.47,122.4,302.33,0.852,24.15,23.636000000000003,23.44,27.59666666666667,39.0
2022-11-05 14:45:00,282.8666666666667,2.5913333333333335,122.13333333333334,315.76733333333334,0.88752,24.01,23.474,23.44,27.272,38.6
2022-11-05 15:00:00,173.0,1.52,122.5,186.2,0.9291,24.616666666666667,24.106666666666666,24.353333333333335,27.613333333333337,37.333333333333336
2022-11-05 15:15:00,225.32666666666668,1.9393333333333334,122.34666666666666,236.76333333333332,0.94028,24.383333333333333,23.844666666666665,24.325333333333333,27.511333333333333,37.0
2022-11-05 15:30:00,192.64,1.8326666666666669,122.49333333333333,224.40066666666664,0.8644266666666667,24.509999999999998,23.986,24.351333333333333,27.5,37.0
2022-11-05 15:45:00,224.68666666666667,2.4373333333333336,122.3,297.77000000000004,0.7311866666666667,24.13,23.604666666666667,23.846666666666668,27.5,38.46666666666667
2022-11-05 16:00:00,168.0,2.04,122.5,249.9,0.6723,24.18466666666667,23.625999999999998,24.103333333333335,27.480666666666668,37.0
2022-11-05 16:15:00,226.10666666666665,2.3513333333333337,122.41333333333334,287.00333333333333,0.74256,24.06066666666667,23.488,23.993333333333332,27.248,37.0
2022-11-05 16:30:00,141.35333333333332,1.3233333333333333,123.1,162.67333333333332,0.8318733333333334,24.12933333333333,23.567333333333334,23.846666666666668,27.221333333333334,37.0
2022-11-05 16:45:00,209.74666666666664,1.9753333333333332,122.76,236.932,0.8354466666666667,24.34,23.790000000000003,24.25,27.316666666666666,36.666666666666664
2022-11-05 17:00:00,218.2466666666667,2.0853333333333333,122.62666666666668,252.61066666666665,0.8351399999999999,24.166,23.578,23.92,26.95,36.0
2022-11-05 17:15:00,253.72,2.56,122.46666666666667,313.0353333333333,0.7899533333333333,24.05,23.459999999999997,23.7,26.46466666666667,36.333333333333336
2022-11-05 17:30:00,300.8333333333333,3.1366666666666663,122.54666666666667,381.3366666666667,0.75662,24.029333333333334,23.42733333333333,23.662666666666667,26.39,36.0
2022-11-05 17:45:00,432.41999999999996,3.9026666666666667,122.18,476.2513333333333,0.9006533333333333,23.279999999999998,22.601999999999997,22.92,25.610000000000003,36.0
2022-11-05 18:00:00,573.7533333333333,5.026666666666667,121.54666666666667,610.9026666666666,0.9383333333333332,22.583333333333332,21.833333333333332,21.903333333333332,23.52,36.0
2022-11-05 18:15:00,524.9466666666666,4.551333333333333,121.65333333333334,553.2373333333333,0.94964,22.421333333333333,21.709333333333333,22.22533333333333,22.603333333333335,37.93333333333333
2022-11-05 18:30:00,392.14666666666665,3.3273333333333333,122.11333333333333,405.89599999999996,0.9624866666666667,21.88066666666667,21.173333333333336,21.44,22.28066666666667,40.13333333333333
2022-11-05 18:45:00,390.4266666666666,3.365333333333333,122.03333333333333,410.31,0.9505066666666667,21.552666666666667,20.76066666666667,21.405333333333335,21.587333333333333,38.06666666666667
2022-11-05 19:00:00,464.62666666666667,4.114,121.83333333333333,500.61733333333336,0.9222466666666667,20.92,20.09,20.92,21.266666666666666,39.0
2022-11-05 19:15:00,409.9,3.63,122.1,443.22,0.9248,20.464000000000002,19.63,19.560000000000002,20.92,40.6
2022-11-05 19:30:00,522.8866666666667,4.528666666666666,122.22,553.0133333333334,0.9418399999999999,19.58,18.7,17.52,20.546666666666667,42.333333333333336
2022-11-05 19:45:00,394.73333333333335,3.4046666666666665,123.08666666666666,418.63533333333334,0.94138,19.48,18.58,17.52,20.36,42.0
2022-11-05 20:00:00,191.23333333333332,1.7646666666666666,124.06666666666666,218.49666666666664,0.8416466666666668,19.195333333333334,18.342,17.52,19.842,44.8
2022-11-05 20:15:00,130.76000000000002,1.304,124.38000000000001,162.18800000000002,0.8061799999999999,18.745333333333335,17.95266666666667,17.461333333333336,18.846666666666668,48.733333333333334
2022-11-05 20:30:00,256.2133333333333,2.4646666666666666,123.96666666666667,305.0466666666667,0.8176933333333333,17.993333333333332,17.165333333333333,17.44,17.993333333333332,50.266666666666666
2022-11-05 20:45:00,200.0,2.15,124.4,267.46,0.7478,17.59,16.724,17.44,17.59,50.46666666666667
2022-11-05 21:00:00,225.88666666666668,2.325333333333333,124.2,288.6406666666666,0.77234,17.59,16.71,17.45,17.59,50.0
2022-11-05 21:15:00,129.93333333333334,1.2926666666666666,124.94666666666667,161.46733333333336,0.80646,17.59,16.71,17.540000000000003,17.59,50.0
2022-11-05 21:30:00,151.58666666666667,1.4386666666666668,125.1,179.68400000000003,0.8199733333333333,17.59,16.68,17.44,17.59,48.8
2022-11-05 21:45:00,159.73999999999998,1.486,125.26,185.99200000000002,0.8379,17.59,16.666666666666668,17.44,17.59,48.266666666666666
2022-11-05 22:00:00,382.25333333333333,3.2746666666666666,124.46000000000001,407.14000000000004,0.9321866666666666,17.59,16.71,17.5,17.59,50.0
2022-11-05 22:15:00,322.2,2.94,124.8,366.91,0.8781,17.216666666666665,16.296666666666667,17.216666666666665,17.216666666666665,50.0
2022-11-05 22:30:00,344.47333333333336,3.11,124.75999999999999,387.79333333333335,0.8829466666666667,17.03,16.096,17.03,17.03,50.2
2022-11-05 22:45:00,288.3,2.68,125.3,335.8,0.8585,16.512,15.576,16.512,16.512,52.0
2022-11-05 23:00:00,238.45333333333332,2.029333333333333,125.1,253.89333333333335,0.9422999999999999,15.92,14.963333333333333,15.92,15.92,53.333333333333336
2022-11-05 23:15:00,271.28666666666663,2.2386666666666666,125.00666666666666,279.56733333333335,0.9678533333333335,15.92,14.91,15.92,15.92,51.333333333333336
2022-11-05 23:30:00,190.4,1.6266666666666665,125.36666666666666,203.71999999999997,0.9052333333333333,15.92,14.857333333333333,15.824,15.92,49.333333333333336
2022-11-05 23:45:00,289.8066666666667,2.444666666666667,125.17333333333333,305.30266666666665,0.9213466666666666,15.92,14.838666666666665,15.44,15.92,48.8
2022-11-06 00:00:00,290.9,2.6,125.1,325.26,0.8944,15.402,14.288,15.145999999999999,15.696,49.4
2022-11-06 00:15:00,321.2,2.8433333333333333,124.98666666666666,354.99266666666665,0.8992066666666666,14.846666666666668,13.718666666666667,14.846666666666668,15.44,50.93333333333333
2022-11-06 00:30:00,315.3466666666667,2.8873333333333333,124.92666666666668,360.682,0.87866,15.359999999999998,14.293333333333333,15.359999999999998,15.413333333333332,51.333333333333336
2022-11-06 00:45:00,229.4,2.0,125.0,250.0,0.9176,15.359999999999998,14.348,15.359999999999998,15.359999999999998,53.4
2022-11-06 01:00:00,399.58,3.283333333333333,124.80666666666667,409.4746666666667,0.9730399999999999,15.359999999999998,14.34,15.359999999999998,15.359999999999998,53.0
2022-11-06 01:15:00,383.7,3.15,124.9,393.44,0.9752,17.56,16.29,17.56,17.56,35.0
2022-11-06 01:30:00,321.94666666666666,2.678,125.1,334.2973333333333,0.9528933333333334,17.56,16.29,17.56,17.56,35.0
2022-11-06 01:45:00,325.56666666666666,3.0046666666666666,124.88000000000001,375.06333333333333,0.8616933333333333,17.386666666666667,16.029999999999998,17.386666666666667,17.386666666666667,32.4
2022-11-06 02:00:00,299.26666666666665,2.7866666666666666,125.02666666666666,348.102,0.8513933333333333,17.36,15.99,17.36,17.36,32.0
2022-11-06 02:15:00,336.14000000000004,3.100666666666667,124.72666666666667,386.50466666666665,0.86082,17.36,15.99,17.36,17.36,32.0
2022-11-06 02:30:00,226.12,2.3793333333333333,125.4,298.064,0.7365066666666666,17.36,15.99,17.36,17.36,32.0
2022-11-06 02:45:00,94.11999999999999,1.046,126.11999999999999,131.844,0.7237399999999999,17.304,15.877999999999998,17.304,17.304,30.133333333333333
2022-11-06 03:00:00,75.1,0.81,126.2,102.22,0.7347,17.3,15.87,17.3,17.3,30.0
2022-11-06 03:15:00,102.0642857142857,1.0007142857142857,126.09285714285714,125.87142857142858,0.7598857142857144,15.12142857142857,13.734285714285715,15.12142857142857,15.12142857142857,40.0
2022-11-06 03:30:00,157.76666666666668,1.8273333333333333,126.28,230.73666666666665,0.68614,17.3,15.87,17.3,17.3,30.0
2022-11-06 03:45:00,199.87333333333333,2.186,126.22000000000001,275.6213333333333,0.7035199999999999,17.07,15.56,17.07,17.07,28.0
2022-11-06 04:00:00,152.38,1.74,126.42000000000002,219.95,0.69964,15.864666666666666,14.349333333333334,15.864666666666666,15.864666666666666,32.266666666666666
2022-11-06 04:15:00,100.86,0.9846666666666667,126.43333333333334,124.21733333333333,0.76418,15.25,13.69,15.25,15.25,32.8
2022-11-06 04:30:00,183.2,1.5766666666666667,125.93333333333334,198.2866666666667,0.8876000000000001,15.546666666666665,13.993333333333334,15.546666666666665,15.546666666666665,32.0
2022-11-06 04:45:00,262.56,2.170666666666667,125.52,272.2506666666667,0.9614333333333334,16.144,14.628000000000002,16.144,16.144,31.2
2022-11-06 05:00:00,237.65333333333334,2.124,125.83999999999999,267.264,0.8910733333333333,16.106666666666666,14.576666666666666,16.106666666666666,16.106666666666666,30.666666666666668
2022-11-06 05:15:00,244.4,2.2,125.8,276.76,0.8831,15.92,14.38,15.92,15.92,31.0
2022-11-06 05:30:00,245.20666666666665,2.155333333333333,125.56666666666666,270.1573333333333,0.9076866666666666,15.140666666666668,13.544666666666668,15.140666666666668,15.140666666666668,31.933333333333334
2022-11-06 05:45:00,184.1,1.56,125.9,196.4,0.9374,13.846666666666666,12.164666666666667,13.846666666666666,13.846666666666666,33.733333333333334
2022-11-06 06:00:00,220.22,1.8406666666666667,125.96666666666667,231.48533333333333,0.94502,13.7,11.982000000000001,13.7,13.7,32.733333333333334
2022-11-06 06:15:00,102.85333333333332,1.0693333333333332,126.37333333333332,135.082,0.7579333333333333,13.7,11.976,13.7,13.7,32.53333333333333
2022-11-06 06:30:00,207.86666666666667,2.1666666666666665,126.13333333333334,272.776,0.7199266666666666,13.774,12.068000000000001,13.774,13.774,32.86666666666667
2022-11-06 06:45:00,145.48666666666665,1.676,126.38666666666668,211.84,0.6890999999999999,14.993333333333334,13.35,14.993333333333334,14.993333333333334,30.666666666666668
2022-11-06 07:00:00,101.02000000000001,0.9860000000000001,126.15333333333334,124.172,0.7663266666666667,15.359999999999998,13.748,15.359999999999998,15.359999999999998,30.6
2022-11-06 07:15:00,72.7,0.7700000000000001,126.4,97.33,0.7469,15.281428571428572,13.68142857142857,15.281428571428572,15.281428571428572,31.285714285714285
2022-11-06 07:30:00,72.7,0.77,126.4,97.33,0.7469,14.736,13.132000000000001,14.736,14.736,33.13333333333333
